rank,iris_name,CODE_IRIS,score_final,dist_min_m,dist_min_hyper_m,dist_min_super_m,n_hyper_1km,n_super_1km,competition_weighted,Pop_15_64,Mediane_revenu,Nb_residence_principale,Actif_total
1,Maupertuis-Saint-Mury-Charlaix,382290301,0.5760978033327562,2525.6971373149763,2525.6971373149763,4196.292332720781,0,0,0,1730,39064,699,1274
2,Haut Meylan,382290302,0.5599294081151363,2820.6021199456654,2820.6021199456654,3645.3359513089645,0,0,0,1564,41280,468,1115
3,Maquis du Grésivaudan Nord,385160101,0.5369319642383303,1012.5076894292575,2669.9677364307527,1012.5076894292575,0,0,0.32464969360110896,2507,21830,1060,1710
4,Corenc (commune non irisée),381260000,0.5328691700819754,2363.0435646515307,2623.610195319116,2363.0435646515307,0,0,0.07239601947536563,2314,21830,759,1677
5,La Monta-Visancourt,383820105,0.5186737297946077,1445.5696962718182,1445.5696962718182,1531.9792891934474,0,0,0.9422415740746395,1962,23674,1215,1584
6,Rondeau-Libération,381850310,0.486924232136513,1384.879626772743,6525.492123595592,1384.879626772743,0,0,0.938853675597607,1959,21720,1063,1383
7,Diderot,381850104,0.482588885307915,1019.0031355907051,5224.319866967008,1019.0031355907051,0,0,4.108704923789609,1961,23882,1322,1460
8,Fiancey-Brieux,383820201,0.4753580039974624,1297.9755512420281,2686.046429684118,1297.9755512420281,0,0,0.3310749690234888,1690,27360,850,1050
9,Île Verte-Maréchal Randon,381850210,0.46650279066179823,987.6388321091205,2637.140970060538,987.6388321091205,0,1,2.839773173108865,1700,25614,1213,1174
10,Maquis du Grésivaudan Sud,385160102,0.4560952105797119,1114.8876583698413,1725.298803607106,1114.8876583698413,0,0,1.6396360008525677,1870,21830,1017,1154
